dataset	rel	depth_min	depth_max	depth_mean	valid_ratio
DDAD	DDAD/val/000007/CAMERA_06/depth.png	3.200410	116.230392	19.833214	0.0218
DDAD	DDAD/val/000016/CAMERA_05/depth.png	3.883994	89.266327	17.793524	0.0259
DDAD	DDAD/val/000019/CAMERA_05/depth.png	3.877020	99.595085	17.896439	0.0257
DDAD	DDAD/val/000024/CAMERA_01/depth.png	5.082906	147.407745	29.772963	0.0107
DDAD	DDAD/val/000033/CAMERA_06/depth.png	3.942641	105.658821	24.494938	0.0223
DDAD	DDAD/val/000034/CAMERA_09/depth.png	6.504518	199.103882	26.514698	0.0184
DDAD	DDAD/val/000037/CAMERA_01/depth.png	4.985115	179.360779	29.602343	0.0108
DDAD	DDAD/val/000040/CAMERA_06/depth.png	4.001202	73.419502	20.837784	0.0228
DDAD	DDAD/val/000050/CAMERA_01/depth.png	5.020932	166.092453	34.634888	0.0105
DDAD	DDAD/val/000055/CAMERA_05/depth.png	3.957096	71.548103	18.998192	0.0261
DDAD	DDAD/val/000056/CAMERA_06/depth.png	3.116319	68.791794	17.399456	0.0234
DDAD	DDAD/val/000061/CAMERA_06/depth.png	3.103941	68.504280	16.788729	0.0234
DDAD	DDAD/val/000061/CAMERA_09/depth.png	7.106634	215.713104	32.933624	0.0199
DDAD	DDAD/val/000065/CAMERA_06/depth.png	3.093294	68.213585	15.146749	0.0232
DDAD	DDAD/val/000065/CAMERA_09/depth.png	5.660068	225.718445	34.248833	0.0195
DDAD	DDAD/val/000068/CAMERA_06/depth.png	3.122603	63.873383	14.997500	0.0231
DDAD	DDAD/val/000080/CAMERA_05/depth.png	3.829691	86.778809	22.832108	0.0237
DDAD	DDAD/val/000094/CAMERA_06/depth.png	2.967724	53.465599	14.364175	0.0223
DDAD	DDAD/val/000095/CAMERA_06/depth.png	2.952107	52.866226	14.637526	0.0214
DDAD	DDAD/val/000100/CAMERA_01/depth.png	4.938782	214.861633	32.625412	0.0100
DDAD	DDAD/val/000101/CAMERA_09/depth.png	4.760534	206.342529	29.583113	0.0163
DDAD	DDAD/val/000104/CAMERA_05/depth.png	3.799038	181.337219	24.584518	0.0223
DDAD	DDAD/val/000106/CAMERA_05/depth.png	3.804176	192.550079	25.113003	0.0218
DDAD	DDAD/val/000106/CAMERA_06/depth.png	4.371258	178.748856	31.175247	0.0226
DDAD	DDAD/val/000108/CAMERA_01/depth.png	5.235101	208.608032	33.051239	0.0098
DDAD	DDAD/val/000111/CAMERA_05/depth.png	3.905517	179.553604	24.963739	0.0218
DDAD	DDAD/val/000112/CAMERA_06/depth.png	4.262940	143.301910	24.641029	0.0234
DDAD	DDAD/val/000122/CAMERA_01/depth.png	4.141978	230.423096	29.643934	0.0099
DDAD	DDAD/val/000122/CAMERA_06/depth.png	3.819639	133.753052	21.418530	0.0238
DDAD	DDAD/val/000125/CAMERA_05/depth.png	3.022863	193.342590	19.037628	0.0216
DDAD	DDAD/val/000127/CAMERA_06/depth.png	4.137063	139.030411	21.801550	0.0236
DDAD	DDAD/val/000130/CAMERA_01/depth.png	4.021221	217.069931	28.212784	0.0094
DDAD	DDAD/val/000131/CAMERA_09/depth.png	4.766906	235.287354	38.837479	0.0161
DDAD	DDAD/val/000144/CAMERA_01/depth.png	4.149702	220.497208	32.605221	0.0095
DDAD	DDAD/val/000145/CAMERA_06/depth.png	3.803493	204.617279	17.768127	0.0259
DDAD	DDAD/val/000148/CAMERA_05/depth.png	2.939913	170.127258	20.852440	0.0220
DDAD	DDAD/val/000152/CAMERA_09/depth.png	6.563504	224.561172	36.048660	0.0175
DDAD	DDAD/val/000154/CAMERA_01/depth.png	5.153826	234.996552	40.163189	0.0094
DDAD	DDAD/val/000154/CAMERA_09/depth.png	6.525222	225.345459	36.379219	0.0172
DDAD	DDAD/val/000157/CAMERA_09/depth.png	6.531042	224.500488	42.152473	0.0163
DDAD	DDAD/val/000164/CAMERA_06/depth.png	4.061950	226.139481	33.477100	0.0202
DDAD	DDAD/val/000182/CAMERA_05/depth.png	2.003437	197.524536	31.490105	0.0198
DDAD	DDAD/val/000184/CAMERA_06/depth.png	3.778004	201.490158	23.743128	0.0206
DDAD	DDAD/val/000187/CAMERA_05/depth.png	3.939085	184.143265	35.349518	0.0175
DDAD	DDAD/val/000187/CAMERA_09/depth.png	4.484282	225.173767	41.088314	0.0145
DDAD	DDAD/val/000189/CAMERA_01/depth.png	5.098590	224.641571	35.398178	0.0097
DDAD	DDAD/val/000191/CAMERA_06/depth.png	3.989411	224.231277	23.675373	0.0212
DDAD	DDAD/val/000196/CAMERA_06/depth.png	4.148843	190.973099	26.385971	0.0213
DDAD	DDAD/val/000207/CAMERA_09/depth.png	2.898352	201.315674	34.985199	0.0177
DDAD	DDAD/val/000216/CAMERA_05/depth.png	1.671612	175.872391	23.867338	0.0206
DDAD	DDAD/val/000219/CAMERA_05/depth.png	1.652350	172.443802	22.856401	0.0200
DDAD	DDAD/val/000222/CAMERA_09/depth.png	4.148781	223.717789	30.214643	0.0180
DDAD	DDAD/val/000230/CAMERA_09/depth.png	5.440283	226.520401	28.718693	0.0174
DDAD	DDAD/val/000237/CAMERA_06/depth.png	3.675215	75.727127	21.121683	0.0232
DDAD	DDAD/val/000247/CAMERA_09/depth.png	6.005597	235.914169	29.281187	0.0208
DDAD	DDAD/val/000251/CAMERA_09/depth.png	6.030814	234.392136	32.066032	0.0200
DDAD	DDAD/val/000254/CAMERA_05/depth.png	3.805806	167.566132	24.545830	0.0200
DDAD	DDAD/val/000256/CAMERA_06/depth.png	3.664696	97.003288	21.501032	0.0226
DDAD	DDAD/val/000258/CAMERA_01/depth.png	5.097145	234.036591	29.991140	0.0099
DDAD	DDAD/val/000258/CAMERA_05/depth.png	3.950070	162.728409	24.552143	0.0205
DDAD	DDAD/val/000258/CAMERA_09/depth.png	6.027650	236.201950	34.981823	0.0205
DDAD	DDAD/val/000260/CAMERA_05/depth.png	3.940197	159.823257	25.763887	0.0208
DDAD	DDAD/val/000263/CAMERA_05/depth.png	3.963970	156.311600	26.249910	0.0189
DDAD	DDAD/val/000265/CAMERA_09/depth.png	6.030896	188.753784	35.203377	0.0186
DDAD	DDAD/val/000266/CAMERA_05/depth.png	3.988116	174.277512	25.724628	0.0208
DDAD	DDAD/val/000274/CAMERA_06/depth.png	3.630878	91.452263	17.208199	0.0212
DDAD	DDAD/val/000274/CAMERA_09/depth.png	6.022659	184.211472	37.501270	0.0200
DDAD	DDAD/val/000276/CAMERA_01/depth.png	5.056761	233.726196	31.865822	0.0100
DDAD	DDAD/val/000276/CAMERA_09/depth.png	5.100203	187.654083	35.979446	0.0185
DDAD	DDAD/val/000277/CAMERA_05/depth.png	3.982970	162.170670	26.530270	0.0215
DDAD	DDAD/val/000278/CAMERA_05/depth.png	3.964866	170.831589	26.164785	0.0221
DDAD	DDAD/val/000286/CAMERA_01/depth.png	5.033305	233.893692	31.213577	0.0100
DDAD	DDAD/val/000286/CAMERA_06/depth.png	3.383623	125.665314	21.428011	0.0242
DDAD	DDAD/val/000287/CAMERA_09/depth.png	5.899959	206.533691	33.159531	0.0174
DDAD	DDAD/val/000288/CAMERA_09/depth.png	5.371361	191.075562	32.897236	0.0171
DDAD	DDAD/val/000290/CAMERA_06/depth.png	3.344737	120.264435	21.598530	0.0233
DDAD	DDAD/val/000294/CAMERA_09/depth.png	5.960011	213.587845	30.212048	0.0162
